"","X","Player","Pos","Height","Weight","Age","Age21"
"437",437,"Samuel Dalembert","C",83,250,32,">21"
"438",438,"Dwight Howard","C",83,265,27,">21"
"439",439,"Marcus Camby","C",83,235,39,">21"
"440",440,"Jordan Henriquez","C",83,250,24,">21"
"441",441,"Greg Stiemsma","C",83,260,27,">21"
"442",442,"Tim Duncan","C",83,255,37,">21"
"443",443,"Tiago Splitter","C",83,240,28,">21"
"444",444,"Joffrey Lauvergne","F",83,235,21,"<=21"
"445",445,"Anthony Randolph","F",83,225,24,">21"
"446",446,"Gorgui Dieng","C",83,245,23,">21"
"447",447,"Nikola Pekovic","C",83,290,27,">21"
"448",448,"Chris Johnson","C",83,210,28,">21"
"449",449,"Perry Jones III","F",83,235,21,"<=21"
"450",450,"Jared Jeffries","F",83,240,31,">21"
"451",451,"LaMarcus Aldridge","F",83,240,28,">21"
"452",452,"Joel Freeland","C",83,225,26,">21"
"453",453,"Enes Kanter","C",83,267,21,"<=21"
"454",454,"Jermaine O`Neal","C",83,255,34,">21"
"455",455,"Festus Ezeli","C",83,255,23,">21"
"456",456,"DeAndre Jordan","C",83,265,25,">21"
"457",457,"Ryan Kelly","F",83,230,22,">21"
"458",458,"Marcin Gortat","C",83,240,29,">21"
"459",459,"Channing Frye","F",83,245,30,">21"
"460",460,"DeMarcus Cousins","C",83,270,23,">21"
"461",461,"Jason Thompson","F",83,250,27,">21"
"462",462,"Cole Aldrich","C",83,245,24,">21"
"463",463,"Colton Iverson","C",84,255,24,">21"
"464",464,"Kelly Olynyk","C",84,238,22,">21"
"465",465,"Brook Lopez","C",84,265,25,">21"
"466",466,"Andrea Bargnani","C",84,255,27,">21"
"467",467,"Earl Barron","C",84,250,32,">21"
"468",468,"Jonas Valanciunas","C",84,257,21,"<=21"
"469",469,"Aaron Gray","C",84,270,28,">21"
"470",470,"Andrew Bynum","C",84,285,25,">21"
"471",471,"Tyler Zeller","C",84,250,23,">21"
"472",472,"Miroslav Raduljica","C",84,240,25,">21"
"473",473,"Johan Petro","C",84,247,27,">21"
"474",474,"Cody Zeller","F",84,230,20,"<=21"
"475",475,"DeSagana Diop","C",84,280,31,">21"
"476",476,"Brendan Haywood","C",84,263,33,">21"
"477",477,"Justin Hamilton","C",84,260,23,">21"
"478",478,"Greg Oden","C",84,285,25,">21"
"479",479,"Fab Melo","C",84,255,23,">21"
"480",480,"Dirk Nowitzki","F",84,245,35,">21"
"481",481,"Omer Asik","C",84,255,27,">21"
"482",482,"Donatas Motiejunas","F",84,222,23,">21"
"483",483,"Kosta Koufos","C",84,265,24,">21"
"484",484,"Jeff Withey","C",84,235,23,">21"
"485",485,"Jason Smith","F",84,240,27,">21"
"486",486,"JaVale McGee","C",84,252,25,">21"
"487",487,"Steven Adams","C",84,250,20,"<=21"
"488",488,"Robin Lopez","C",84,255,25,">21"
"489",489,"Andris Biedrins","C",84,240,27,">21"
"490",490,"Andrew Bogut","C",84,260,28,">21"
"491",491,"Byron Mullens","C",84,275,24,">21"
"492",492,"Ryan Hollins","C",84,240,28,">21"
"493",493,"Chris Kaman","C",84,265,31,">21"
"494",494,"Pau Gasol","F",84,250,33,">21"
"495",495,"Robert Sacre","C",84,263,24,">21"
"496",496,"Viacheslav Kravtsov","C",84,260,26,">21"
"497",497,"Tyson Chandler","C",85,235,30,">21"
"498",498,"Spencer Hawes","C",85,245,25,">21"
"499",499,"Marc Gasol","C",85,265,28,">21"
"500",500,"Timofey Mozgov","C",85,250,27,">21"
"501",501,"Meyers Leonard","C",85,250,21,"<=21"
"502",502,"Rudy Gobert","C",85,235,21,"<=21"
"503",503,"Alex Len","C",85,255,20,"<=21"
"504",504,"Roy Hibbert","C",86,278,26,">21"
"505",505,"Hasheem Thabeet","C",87,263,26,">21"
